Aging,Temperature,SOC,Frequency,Z_real,Z_imag
0,22.5,2,232.98701,3.355019,0.5495497
0,22.5,2,184.11626,3.4530906,0.5705220400000001
0,22.5,2,145.60574,3.5513546,0.58436027
0,22.5,2,115.18433,3.6521524,0.59621216
0,22.5,2,91.078392,3.7577808999999998,0.60008292
0,22.5,2,71.957245,3.8603004,0.59884228
0,22.5,2,56.912251,3.9589298000000004,0.58887323
0,22.5,2,44.956841,4.0568686000000005,0.5556400300000001
0,22.5,2,35.557541,4.152410199999999,0.54471835
0,22.5,2,28.102516,4.2491746,0.52289473
0,22.5,2,22.226173,4.3346942,0.48585993
0,22.5,2,17.556183,4.415275500000001,0.44873345
0,22.5,2,13.884776,4.4860481,0.40420698
0,22.5,2,10.988047,4.541087,0.34908307000000005
0,22.5,2,8.6805573,4.5876005,0.30708467
0,22.5,2,6.8651142,4.6187495,0.25771442
0,22.5,2,5.4253473,4.6494771,0.22206697
0,22.5,2,4.292582,4.6660183,0.19221723999999998
0,22.5,2,3.3908424,4.6761287,0.16801716
0,22.5,2,2.6847081,4.6908171,0.1460279
0,22.5,2,2.1229622,4.7063068,0.13481610000000002
0,22.5,2,1.6765022,4.7103413000000005,0.12798338
0,22.5,2,1.3259507,4.7157211,0.12610827
0,22.5,2,1.047814,4.7243172,0.12911356
0,22.5,2,0.82777089,4.7319336,0.13417298
0,22.5,2,0.65497148,4.7370102,0.14365902
0,22.5,2,0.5175212,4.7504315,0.15663746
0,22.5,2,0.40911707,4.7700605000000005,0.17985757000000002
0,22.5,2,0.3236866,4.787859999999999,0.21726677
0,22.5,2,0.25591263,4.7994195,0.25653697
0,22.5,2,0.20234396,4.816448299999999,0.29938549
0,22.5,2,0.16011845,4.845433900000001,0.3425859
0,22.5,2,0.12650184,4.8882039,0.40164328
0,22.5,3,10002.229,2.3083666,-1.1636587999999999
0,22.5,3,7904.959,2.3368960000000003,-0.78537932
0,22.5,3,6248.7827,2.3209762,-0.5469287300000001
0,22.5,3,4941.5811,2.3508829,-0.35805866
0,22.5,3,3906.2498,2.393784,-0.20765876
0,22.5,3,3087.0369,2.4348863,-0.076476994
0,22.5,3,2440.7808,2.4798682000000003,0.032523093999999995
0,22.5,3,1930.6177,2.5299198,0.1160825
0,22.5,3,1525.4882,2.5825715,0.18617557
0,22.5,3,1206.9312,2.6517769,0.23930742
0,22.5,3,954.08411,2.7005465,0.30310013
0,22.5,3,754.27557,2.7695977999999997,0.34595423
0,22.5,3,596.71857,2.8260106,0.39609204000000003
0,22.5,3,471.35751,2.9012482,0.44106512
0,22.5,3,372.7338,2.9810674,0.47863734999999996
0,22.5,3,294.71707,3.0709039000000002,0.51254139
0,22.5,3,232.98701,3.156835,0.54203527
0,22.5,3,184.11626,3.2494329,0.5664441299999999
0,22.5,3,145.60574,3.3479680000000003,0.58629259
0,22.5,3,115.18433,3.446646,0.59343729
0,22.5,3,91.078392,3.5531584,0.60375128
0,22.5,3,71.957245,3.6471875,0.60657033
0,22.5,3,56.912251,3.7510854,0.60345326
0,22.5,3,44.956841,3.8329402,0.59503777
0,22.5,3,35.557541,3.9340104,0.5900241700000001
0,22.5,3,28.102516,4.0223341999999995,0.58999576
0,22.5,3,22.226173,4.1201846,0.58872771
0,22.5,3,17.556183,4.2193229,0.57672308
0,22.5,3,13.884776,4.3160655,0.5642786900000001
0,22.5,3,10.988047,4.4205938,0.53313177
0,22.5,3,8.6805573,4.514175,0.4975457
0,22.5,3,6.8651142,4.5943651,0.44583957
0,22.5,3,5.4253473,4.6580471,0.39576605
0,22.5,3,4.292582,4.7109318,0.34656233000000003
0,22.5,3,3.3908424,4.7518746,0.29842672000000003
0,22.5,3,2.6847081,4.7814329,0.26304281
0,22.5,3,2.1229622,4.801691,0.22903562
0,22.5,3,1.6765022,4.8165196,0.20575104
0,22.5,3,1.3259507,4.8291962999999996,0.18641238999999998
0,22.5,3,1.047814,4.8426013,0.177038
0,22.5,3,0.82777089,4.8569697,0.17270616
0,22.5,3,0.65497148,4.8730262,0.17865694999999998
0,22.5,3,0.5175212,4.8893504,0.1952719
0,22.5,3,0.40911707,4.8993179,0.22008152
0,22.5,3,0.3236866,4.9083065,0.24451545
0,22.5,3,0.25591263,4.9313265,0.27249538
0,22.5,3,0.20234396,4.9639181,0.31364427
0,22.5,3,0.16011845,4.9952497000000005,0.36639263
0,22.5,3,0.12650184,5.0312276,0.42083023999999997
0,22.5,4,10002.229,2.3107955000000002,-1.1047493
